Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,6876.100098,6876.100098,6876.100098,6876.100098,6876.100098,0
2000-01-03,6762.109863,6762.109863,6762.109863,6762.109863,6762.109863,0
2000-01-04,6543.759766,6543.759766,6543.759766,6543.759766,6543.759766,0
2000-01-05,6567.029785,6567.029785,6567.029785,6567.029785,6567.029785,0
2000-01-06,6635.439941,6635.439941,6635.439941,6635.439941,6635.439941,0
2000-01-07,6792.669922,6792.669922,6792.669922,6792.669922,6792.669922,0
2000-01-10,6838.450195,6838.450195,6838.450195,6838.450195,6838.450195,0
2000-01-11,6774.479980,6774.479980,6774.479980,6774.479980,6774.479980,0
2000-01-12,6766.549805,6766.549805,6766.549805,6766.549805,6766.549805,0
2000-01-13,6836.759766,6836.759766,6836.759766,6836.759766,6836.759766,0
2000-01-14,6870.490234,6870.490234,6870.490234,6870.490234,6870.490234,0
2000-01-18,6808.640137,6808.640137,6808.640137,6808.640137,6808.640137,0
2000-01-19,6823.970215,6823.970215,6823.970215,6823.970215,6823.970215,0
2000-01-20,6772.580078,6772.580078,6772.580078,6772.580078,6772.580078,0
2000-01-21,6762.750000,6762.750000,6762.750000,6762.750000,6762.750000,0
2000-01-24,6611.120117,6611.120117,6611.120117,6611.120117,6611.120117,0
2000-01-25,6606.779785,6606.779785,6606.779785,6606.779785,6606.779785,0
2000-01-26,6644.850098,6644.850098,6644.850098,6644.850098,6644.850098,0
2000-01-27,6627.189941,6627.189941,6627.189941,6627.189941,6627.189941,0
2000-01-28,6469.109863,6469.109863,6469.109863,6469.109863,6469.109863,0
2000-01-31,6574.009766,6574.009766,6574.009766,6574.009766,6574.009766,0
2000-02-01,6606.890137,6606.890137,6606.890137,6606.890137,6606.890137,0
2000-02-02,6618.419922,6618.419922,6618.419922,6618.419922,6618.419922,0
2000-02-03,6657.540039,6657.540039,6657.540039,6657.540039,6657.540039,0
2000-02-04,6628.669922,6628.669922,6628.669922,6628.669922,6628.669922,0
2000-02-07,6596.319824,6596.319824,6596.319824,6596.319824,6596.319824,0
2000-02-08,6651.299805,6651.299805,6651.299805,6651.299805,6651.299805,0
2000-02-09,6523.779785,6523.779785,6523.779785,6523.779785,6523.779785,0
2000-02-10,6496.819824,6496.819824,6496.819824,6496.819824,6496.819824,0
2000-02-11,6391.399902,6391.399902,6391.399902,6391.399902,6391.399902,0
2000-02-14,6398.060059,6398.060059,6398.060059,6398.060059,6398.060059,0
2000-02-15,6459.279785,6459.279785,6459.279785,6459.279785,6459.279785,0
2000-02-16,6396.790039,6396.790039,6396.790039,6396.790039,6396.790039,0
2000-02-17,6357.560059,6357.560059,6357.560059,6357.560059,6357.560059,0
2000-02-18,6203.290039,6203.290039,6203.290039,6203.290039,6203.290039,0
2000-02-22,6239.770020,6239.770020,6239.770020,6239.770020,6239.770020,0
2000-02-23,6224.020020,6224.020020,6224.020020,6224.020020,6224.020020,0
2000-02-24,6170.509766,6170.509766,6170.509766,6170.509766,6170.509766,0
2000-02-25,6094.910156,6094.910156,6094.910156,6094.910156,6094.910156,0
2000-02-28,6177.169922,6177.169922,6177.169922,6177.169922,6177.169922,0
2000-02-29,6266.419922,6266.419922,6266.419922,6266.419922,6266.419922,0
2000-03-01,6338.740234,6338.740234,6338.740234,6338.740234,6338.740234,0
2000-03-02,6360.100098,6360.100098,6360.100098,6360.100098,6360.100098,0
2000-03-03,6454.950195,6454.950195,6454.950195,6454.950195,6454.950195,0
2000-03-06,6386.740234,6386.740234,6386.740234,6386.740234,6386.740234,0
