Date,EURUSD,EURCAD,GBPUSD,BSESN,HSI,NASDAQ,Nikkei225,NYSE,VIX,LIBOR,ma7,ma21,26ema,12ema,MACD,20sd,upper_band,lower_band,ema,momentum,trend3,trend6,trend9
20190102,-0.1042933032297918,-0.051033739522684224,-0.35189711158161224,0.8776342162082558,0.6437812882333744,0.7829873794683815,0.7564423858569975,0.7697309367531546,0.19620694463812574,2.74,0.21574730455601657,0.20049541615702396,0.1950052736177256,0.20782548061290332,0.5702826176360879,0.04979692251041691,0.18239035293692316,0.2247124018549322,0.2113240354400488,0.20405660666965142,0.2316213068231494,0.25138922117369356,0.12865997166030174
20190103,-0.09963211014596549,-0.05434812111077674,-0.34991636379619273,0.8670698259764149,0.6407816285497636,0.7536202281316751,0.7346436426624869,0.7489648821557029,0.22730442058290337,2.74,0.21518285482820765,0.2010682460056693,0.1951036038004244,0.20763696031333362,0.5681527779704004,0.04981878958515441,0.1829517622427546,0.2252679124141142,0.21332822949665944,0.2148722984132032,0.23216035015479697,0.2516727842322274,0.1278502471773698
20190104,-0.09971985638390173,-0.060093012221074514,-0.3422679921931933,0.8721419216947288,0.666312961269697,0.7935654670130557,0.7264894925500698,0.7858423680033568,0.1705480407195649,2.74,0.21646388874744255,0.20128274551913516,0.1951785313348526,0.20744493266341804,0.5661670659849165,0.0499009827107621,0.18317708690667672,0.2254607422711225,0.2138596126713655,0.21466869469112826,0.23269887916146892,0.2519609227395244,0.12705490557927585
20190106,-0.09884274028521642,-0.060747933981336225,-0.3428965771121381,0.8721419216947288,0.6629685630896958,0.7704466364881859,0.7196671960090231,0.7591676857327574,0.22730442058290337,2.74,0.21548490147291574,0.201435784695383,0.19540903438032975,0.20760742416350703,0.5657069802852087,0.048991682929626024,0.18314032853393353,0.22579692350935693,0.21540301610633816,0.21670392841264174,0.23323689138390946,0.2522536401433498,0.12627409610395296
20190107,-0.09289866683988435,-0.061272180389149,-0.33936591556524853,0.8764777137217041,0.6758437414134564,0.8058404412921002,0.7541974248864194,0.7936523765002581,0.17082694184911448,2.74,0.21654976468720666,0.20265844659603924,0.19671438583619164,0.2099472295252866,0.573747391137872,0.0505362178562911,0.18464427190330182,0.22667528696686595,0.2251765126593518,0.23049637702602732,0.23377438438918208,0.25255093958346503,0.12550796618857707
20190108,-0.09612855922048394,-0.06613453309269045,-0.34336827523409164,0.8801343281875462,0.6776506219955669,0.8165076019713307,0.7637857043837002,0.8055115367442112,0.15785803932505924,2.74,0.21595770922156624,0.20384398780402424,0.1973297153076141,0.21073037158672928,0.5751391799614435,0.051375718109901575,0.18596825248264048,0.22766202058562846,0.2234031710773319,0.2230018322334879,0.2343113557706889,0.25285282389140784,0.12475666144891573
20190109,-0.08672983021310485,-0.06101002283095593,-0.33733164524475556,0.8866210313370351,0.7043275020949527,0.8252231325541708,0.7767402907289596,0.812199768275808,0.15102496165109466,2.74,0.21831400109420543,0.2056100572534619,0.1996260056732365,0.21487531207230082,0.5895001202283667,0.06939481952476573,0.19136238231937924,0.22569136053735145,0.2374523712726499,0.2448103593416473,0.2348478031481872,0.2531592955902909,0.12402032565892196
20190110,-0.09098312424283986,-0.06402899211215746,-0.3413258550425594,0.8836455606001505,0.7070143846586807,0.829428429011033,0.7614483945909187,0.8187482108823287,0.14433133454190486,2.74,0.22282432640693753,0.2069735742063275,0.20097087290596363,0.21680670010992267,0.5941899584147826,0.06321127997701738,0.19142626286209197,0.22829307274602217,0.23551012086644524,0.23494114425164714,0.23538372416780723,0.2534703568946208,0.12329910073058264
20190111,-0.09394505689001775,-0.06435769079703528,-0.33366477942356454,0.8809427221079233,0.7136436973735174,0.8273119991086884,0.7728274921758507,0.819683882807571,0.12606331055640776,2.74,0.22475145753570008,0.20862896648596674,0.2016720151012276,0.2173435388660118,0.5931097403779615,0.058855847926920335,0.19214697464026823,0.23080502989404633,0.2302489287195051,0.22806836513674655,0.23591911650206904,0.2537860097101353,0.12259312669401923
20190113,-0.09377058249369274,-0.06468649756026462,-0.3321862374632281,0.8788842721979011,0.6767471817045116,0.8111740216317155,0.7626170494873095,0.7995819566222349,0.16420304002231204,2.74,0.2267674454984232,0.209842449365781,0.20235327167905096,0.21786243078677123,0.5920397527901043,0.05549991155836757,0.1926419896716412,0.23267990045381332,0.22876697517233746,0.22847321025984213,0.2364539778498978,0.25410625563365896,0.12190254167784742
20190114,-0.09368335670969583,-0.06350329884206705,-0.3321862374632281,0.876572741801732,0.69687314306911,0.8178007581951636,0.7626170494873095,0.8144249427974153,0.13833496025658906,2.74,0.2285157689703748,0.21091241683373285,0.20300008813062376,0.21833381082351264,0.5908642750828502,0.05313195916717085,0.1931990792918882,0.2342117557351756,0.22840886146111333,0.22867560633630468,0.23698830593664028,0.25443109595297997,0.1212274818897967
20190115,-0.09840447056702101,-0.06883875266103195,-0.33039934346331384,0.889568758261722,0.721053932011896,0.834907732418501,0.7841886645477187,0.8219068517742871,0.13178078371217403,2.74,0.22665005657523848,0.21127988842158296,0.20273172648177054,0.21698347168798074,0.5826921723782693,0.052760650698880154,0.19348059178946558,0.2346471803929191,0.22093545442717,0.21772087623850656,0.23752209851407963,0.25476053164674345,0.12056808159759291
20190116,-0.10007091834994365,-0.07141786330603317,-0.331175861595204,0.8896515528435918,0.7243181604687048,0.8364824700009228,0.777651639581783,0.8260936918564921,0.13791660856226465,2.74,0.2253141374872297,0.21056748471242837,0.20217711802004018,0.2152234487835408,0.5735323682287442,0.050387168282337386,0.192303601397161,0.23443772801807966,0.21584850830708086,0.2138541011011803,0.23805535336044825,0.2550945633843661,0.11992447311010707
20190117,-0.10033429572734957,-0.07016054255673482,-0.32328352722074905,0.8911276554555323,0.7176602600847803,0.843703196710039,0.7753002619407074,0.8354426384314881,0.1242504532143355,2.74,0.22070408940033012,0.21075143028315674,0.2016152094010661,0.21363661583791965,0.5657245117709355,0.05152890251228695,0.19271543219377765,0.23438329137348612,0.21374259907287713,0.21324296818413124,0.23858806828044443,0.2554331915259689,0.11929678675877375
20190118,-0.10261981008369148,-0.07227904715575265,-0.33210847998875176,0.8914780577956207,0.732896226619751,0.8542587983656966,0.7906235839232922,0.8523520530566873,0.12062473853019104,2.74,0.21676084876053442,0.21034276974404453,0.20067507603273196,0.21144711514845474,0.55615156057806,0.056286086724590845,0.193288866808478,0.233007704893552,0.20948050455701106,0.20793972965504537,0.23912024110524271,0.25577641612232915,0.11868515087928028
20190120,-0.102531809027622,-0.07314097328237792,-0.331175861595204,0.8866210313370351,0.7136436973735174,0.829428429011033,0.7760202763348334,0.819683882807571,0.13791660856226465,2.74,0.21385111737687992,0.20981183716524057,0.1998207479141345,0.20962706560381192,0.5487243159799008,0.05460382745272824,0.19242936883400658,0.23283383289575926,0.20819688482375787,0.20814392464942522,0.23965186969250946,0.2561242369148518,0.11808969179353096
20190121,-0.10235583014463374,-0.0706897480992832,-0.3297009923195101,0.8968566463478311,0.7377022342307133,0.8321680807147671,0.7937172689443313,0.820795367290929,0.13484869613721936,2.74,0.21094189580787825,0.20994492647878657,0.1990620305746389,0.2081522248446999,0.5431895710993734,0.05857888707813445,0.19336992973262845,0.2321483365397472,0.20804313227290921,0.20855226073796462,0.24018295192641176,0.25647665333555875,0.11751053379188825
20190122,-0.10314797911005441,-0.06712303361800703,-0.32498053472458255,0.8931007439441105,0.7290160322543073,0.8344027428722633,0.7881165519974738,0.8359620943588408,0.16245990796262724,2.74,0.20773468679666693,0.20910827212741256,0.19821399723194602,0.2066107870287666,0.5378058467706728,0.0630111831422101,0.1934609398984725,0.23042100487950612,0.20675795823750395,0.2067141821879268,0.24071348571763174,0.2568336645070996,0.11694779911569192
20190123,-0.10103697471981091,-0.06587109789622497,-0.3162179882656925,0.8837006113418602,0.7291410365713087,0.8351877180043208,0.7864210324337197,0.8382807415829916,0.14461023567145445,2.74,0.20684262891165728,0.2085272828095492,0.1978165714083081,0.20608863246020084,0.5367843675263512,0.06324306711315568,0.19294337850547136,0.22980545290798704,0.2096178590883112,0.21161249305888852,0.24124346900337662,0.2571952692427798,0.11640160794006565
20190124,-0.10747183318821965,-0.07168276396983383,-0.31706015805095017,0.8861230624463909,0.7342676340719667,0.8421068436601109,0.7853121660232734,0.8391970886616928,0.13582485009064285,2.74,0.20433473374622232,0.20700493526064842,0.19626650491152411,0.20326265820566466,0.5268802233819794,0.07177724223297298,0.1932047484902692,0.22656616397624885,0.2005476392970828,0.196681241691254,0.2417728997473888,0.2575614660466072,0.11587207835700114
20190127,-0.0986674093476234,-0.07294200130360835,-0.30563668450032194,0.8896515528435918,0.7290160322543073,0.8358350940026218,0.7858665992284966,0.8357023663951644,0.13687072932645375,2.74,0.20489957963141267,0.20642531758416177,0.19644862550927486,0.20413353764128261,0.5320848182678015,0.06739825328790604,0.19174761313622918,0.22689801351072647,0.21123880304320786,0.21711076102824256,0.24230177593995605,0.25793225311336004,0.11535932635873597
20190128,-0.09700329685498686,-0.06870666971274848,-0.3093540198890002,0.8710681045414135,0.7549947348331685,0.8438800373468858,0.7896320254432172,0.8430321985551517,0.13554594896109332,2.74,0.20680280736483042,0.20727310488969358,0.19692295215449201,0.20548699863841413,0.5387803907549275,0.06724480135941126,0.19254058009540503,0.2277582939179053,0.21739469707374337,0.22097211742847467,0.2428300955979209,0.2583076283286729,0.11486346582141849
20190129,-0.09647836245973078,-0.06600280681969495,-0.3163710573001257,0.8692729479074419,0.7529364251134529,0.8355537302494107,0.7905405380377093,0.8457928977857077,0.13917166364523773,2.74,0.2088540955790007,0.20763986825254613,0.1974585736247427,0.2068267260047507,0.5449265921204234,0.06711334581169798,0.19287034905996692,0.2281438131063635,0.22026434724820285,0.22219015935520314,0.2433578567646894,0.25868758926914026,0.11438460848906429
20190130,-0.09263724032103234,-0.07214650905085337,-0.31346674465025326,0.8692379950555627,0.7579897778573437,0.8580090094429129,0.784261272946879,0.8599469694050341,0.11867243062334401,2.74,0.2121473647174864,0.2084635372151425,0.1986601312527755,0.20938349876724288,0.555349961865011,0.07010542332176038,0.19428175190247138,0.22833511459096223,0.22720417806631996,0.2311029832297704,0.24388505751023942,0.25907213320244216,0.11392286395780987
20190131,-0.09551669783169975,-0.07639646564367754,-0.31270385172341436,0.8878452549741025,0.7716093888444964,0.8723216404776177,0.796863254724673,0.8681893677539356,0.1034723190628922,2.74,0.21473332251355237,0.2088503375037536,0.19924373000249682,0.21048006671431774,0.5593232698767598,0.0679216616401848,0.19421220292437652,0.22916131475943746,0.22503215042525848,0.22442157693229348,0.244411695931128,0.2594612570874859,0.11347833966046073
